TIMESTAMP,NDVI,EVI,IRECI,P_ID
2017-08-25,0.8072411,0.47403994,0.63952243,40257804
2017-08-26,0.805894,0.47479457,0.6382641,40257804
2017-08-27,0.8045469,0.47554916,0.63700587,40257804
2017-08-28,0.80378366,0.47623447,0.6317554,40257804
2017-08-29,0.8030205,0.4769198,0.62650496,40257804
2017-08-30,0.80225724,0.4776051,0.6212545,40257804
2017-08-31,0.801494,0.47829044,0.6160041,40257804
2017-09-01,0.80073076,0.47897574,0.61075366,40257804
2017-09-02,0.7999676,0.47966108,0.6055032,40257804
2017-09-03,0.79920435,0.48034638,0.60025275,40257804
2017-09-04,0.7995847,0.47539973,0.58793116,40257804
2017-09-05,0.799965,0.47045308,0.5756095,40257804
2017-09-06,0.80034536,0.46550643,0.5632879,40257804
2017-09-07,0.80072576,0.4605598,0.5509663,40257804
2017-09-08,0.8011061,0.45561314,0.53864473,40257804
2017-09-09,0.80148643,0.4506665,0.5263231,40257804
2017-09-10,0.80186677,0.44571984,0.5140015,40257804
2017-09-11,0.80353343,0.4425166,0.5037578,40257804
2017-09-12,0.80520004,0.43931335,0.49351403,40257804
2017-09-13,0.8068667,0.4361101,0.4832703,40257804
2017-09-14,0.8085334,0.43290684,0.47302654,40257804
2017-09-15,0.81020004,0.4297036,0.4627828,40257804
2017-09-16,0.81186664,0.42650035,0.4525391,40257804
2017-09-17,0.8135333,0.4232971,0.44229534,40257804
2017-09-18,0.8091024,0.41729203,0.4296989,40257804
2017-09-19,0.8046716,0.41128698,0.4171025,40257804
2017-09-20,0.8002407,0.4052819,0.40450606,40257804
2017-09-21,0.79580986,0.39927685,0.39190966,40257804
2017-09-22,0.791379,0.39327177,0.37931323,40257804
2017-09-23,0.78694814,0.38726673,0.3667168,40257804
2017-09-24,0.78251725,0.38126165,0.35412037,40257804
2017-09-25,0.7680941,0.37065852,0.33685824,40257804
2017-09-26,0.75367093,0.36005536,0.3195961,40257804
2017-09-27,0.7392478,0.34945223,0.30233398,40257804
2017-09-28,0.7248246,0.33884907,0.28507182,40257804
2017-09-29,0.7104015,0.32824594,0.2678097,40257804
2017-09-30,0.6959783,0.31764278,0.25054756,40257804
2017-10-01,0.68155515,0.30703965,0.23328543,40257804
2017-10-02,0.6661444,0.29579183,0.21883337,40257804
2017-10-03,0.6507336,0.28454402,0.20438133,40257804
2017-10-04,0.6353228,0.2732962,0.18992928,40257804
2017-10-05,0.61991197,0.26204842,0.17547722,40257804
2017-10-06,0.6045012,0.2508006,0.16102517,40257804
2017-10-07,0.5890904,0.2395528,0.14657313,40257804
2017-10-08,0.5736796,0.22830498,0.13212107,40257804
2017-10-09,0.5686936,0.22275357,0.12648198,40257804
2017-10-10,0.56370753,0.21720216,0.1208429,40257804
2017-10-11,0.5587215,0.21165074,0.11520381,40257804
2017-10-12,0.5537355,0.20609933,0.10956472,40257804
2017-10-13,0.54874945,0.20054792,0.10392564,40257804
2017-10-14,0.5437634,0.1949965,0.09828655,40257804
2017-10-15,0.53877735,0.1894451,0.09264746,40257804
2017-10-16,0.54094595,0.18843849,0.09329221,40257804
2017-10-17,0.5431146,0.18743189,0.09393696,40257804
2017-10-18,0.5452832,0.18642528,0.0945817,40257804
2017-10-19,0.5474518,0.18541868,0.09522645,40257804
2017-10-20,0.5496204,0.18441208,0.095871195,40257804
2017-10-21,0.55178905,0.18340547,0.096515946,40257804
2017-10-22,0.55395764,0.18239887,0.09716069,40257804
2017-10-23,0.555999,0.18219604,0.09714534,40257804
2017-10-24,0.55804026,0.1819932,0.09712999,40257804
2017-10-25,0.5600816,0.18179037,0.097114645,40257804
2017-10-26,0.5621229,0.18158755,0.09709929,40257804
2017-10-27,0.5641642,0.18138471,0.09708394,40257804
2017-10-28,0.5662055,0.18118188,0.09706859,40257804
2017-10-29,0.56824684,0.18097904,0.097053245,40257804
2017-10-30,0.56998146,0.18041806,0.09686974,40257804
2017-10-31,0.57171607,0.17985708,0.09668623,40257804
2017-11-01,0.5734507,0.17929609,0.09650272,40257804
2017-11-02,0.57518524,0.17873512,0.096319206,40257804
2017-11-03,0.57691985,0.17817414,0.0961357,40257804
2017-11-04,0.57865447,0.17761315,0.09595219,40257804
2017-11-05,0.5803891,0.17705217,0.09576868,40257804
2017-11-06,0.5821237,0.17649119,0.095585175,40257804
2017-11-07,0.5838583,0.1759302,0.09540167,40257804
2017-11-08,0.5855929,0.17536922,0.09521816,40257804
2017-11-09,0.5873275,0.17480825,0.095034644,40257804
2017-11-10,0.5890621,0.17424726,0.094851136,40257804
2017-11-11,0.5907967,0.17368628,0.09466763,40257804
2017-11-12,0.5925313,0.1731253,0.09448412,40257804
2017-11-13,0.59426594,0.17256431,0.09430061,40257804
2017-11-14,0.5960005,0.17200333,0.094117105,40257804
2017-11-15,0.5977351,0.17144234,0.0939336,40257804
2017-11-16,0.5994697,0.17088138,0.09375008,40257804
2017-11-17,0.60120434,0.17032039,0.093566574,40257804
2017-11-18,0.6029389,0.16975941,0.09338307,40257804
2017-11-19,0.6046735,0.16919842,0.09319956,40257804
2017-11-20,0.6064081,0.16863744,0.09301605,40257804
2017-11-21,0.60814273,0.16807646,0.09283254,40257804
2017-11-22,0.60987735,0.16751547,0.092649035,40257804
2017-11-23,0.6116119,0.1669545,0.09246553,40257804
2017-11-24,0.6133465,0.16639352,0.09228202,40257804
2017-11-25,0.61508113,0.16583253,0.09209851,40257804
2017-11-26,0.61681575,0.16527155,0.091915004,40257804
2017-11-27,0.61855036,0.16471057,0.091731496,40257804
2017-11-28,0.620285,0.16414958,0.09154799,40257804
2017-11-29,0.6220196,0.1635886,0.09136448,40257804
2017-11-30,0.62375414,0.16302763,0.091180965,40257804
2017-12-01,0.62548876,0.16246665,0.09099746,40257804
2017-12-02,0.6272234,0.16190566,0.09081395,40257804
2017-12-03,0.628958,0.16134468,0.09063044,40257804
2017-12-04,0.6306926,0.1607837,0.090446934,40257804
2017-12-05,0.63242716,0.16022271,0.09026343,40257804
2017-12-06,0.6341618,0.15966173,0.09007992,40257804
2017-12-07,0.6358964,0.15910076,0.0898964,40257804
2017-12-08,0.637631,0.15853977,0.089712895,40257804
2017-12-09,0.63936555,0.15797879,0.08952939,40257804
2017-12-10,0.64110017,0.1574178,0.08934588,40257804
2017-12-11,0.6428348,0.15685682,0.08916237,40257804
2017-12-12,0.6445694,0.15629584,0.088978864,40257804
2017-12-13,0.646304,0.15573485,0.08879536,40257804
2017-12-14,0.64803857,0.15517388,0.08861185,40257804
2017-12-15,0.6497732,0.1546129,0.08842834,40257804
2017-12-16,0.6515078,0.15405191,0.08824483,40257804
2017-12-17,0.6532424,0.15349093,0.088061325,40257804
2017-12-18,0.654977,0.15292995,0.08787782,40257804
2017-12-19,0.6567116,0.15236896,0.08769431,40257804
2017-12-20,0.6584462,0.15180798,0.0875108,40257804
2017-12-21,0.6601808,0.15124701,0.08732729,40257804
2017-12-22,0.6619154,0.15068603,0.08714378,40257804
2017-12-23,0.66365,0.15012504,0.08696027,40257804
2017-12-24,0.6653846,0.14956406,0.08677676,40257804
2017-12-25,0.6671192,0.14900307,0.086593255,40257804
2017-12-26,0.6688538,0.14844209,0.08640975,40257804
2017-12-27,0.67058843,0.1478811,0.08622624,40257804
2017-12-28,0.672323,0.14732014,0.086042725,40257804
2017-12-29,0.6740576,0.14675915,0.08585922,40257804
2017-12-30,0.6757922,0.14619817,0.08567571,40257804
2017-12-31,0.67752683,0.14563718,0.0854922,40257804
2018-01-01,0.67926145,0.1450762,0.08530869,40257804
2018-01-02,0.68099606,0.14451522,0.085125186,40257804
