P_ID,TIMESTAMP,NDVI,EVI,IRECI
40262355,2018-06-30,0.84209186,0.6279105,1.0710379
40262355,2018-07-05,0.848251,0.59733385,1.1450729
40262355,2018-07-10,0.79025525,0.6460547,0.9852493
40262355,2018-07-20,0.81439245,0.4417474,0.65525526
40262355,2018-07-25,0.85152584,0.5507477,0.95558804
40262355,2018-07-30,0.8448176,0.5585117,0.9265317
40262355,2018-08-04,0.81208444,0.53837013,0.841385
40262355,2018-08-09,0.8358029,0.41985193,0.6414207
40262355,2018-08-19,0.836886,0.5198818,0.7940632
40262355,2018-08-29,0.81281674,0.53723407,0.7039599
40262355,2018-09-18,0.82877153,0.5284305,0.66992444
40262355,2018-09-28,0.87433445,0.5118667,0.69046944
40262355,2018-10-03,0.7598499,0.52267057,0.52510893
40262355,2018-10-13,0.64563864,0.3187113,0.24565853
40262355,2018-10-23,0.6239316,0.29134515,0.21038865
40262355,2018-11-17,0.548913,0.29394644,0.14414434
40262355,2018-12-27,0.5917978,0.24811068,0.13284022
40262355,2019-01-01,0.5224775,0.21081059,0.13863486
40262355,2019-01-06,0.56622154,0.2791616,0.16573736
40262355,2019-01-11,0.46176344,0.23316169,0.1477479
40262355,2019-02-15,0.47360647,0.2477982,0.12168709
40262355,2019-02-20,0.38282079,0.21006283,0.121747024
40262355,2019-02-25,0.4773816,0.18443128,0.08851693
40262355,2019-03-02,0.45512566,0.21525054,0.122975856
40262355,2019-03-22,0.460815,0.22143555,0.12809107
40262355,2019-04-01,0.42643923,0.21756472,0.13706079
40262355,2019-04-16,0.49445984,0.27013734,0.1678303
40262355,2019-04-21,0.7021717,0.398677,0.35053968
40262355,2019-05-01,0.82820517,0.6056628,0.7328779
40262355,2019-06-20,0.8292622,0.63236934,1.1009248
40262355,2019-06-25,0.8176957,0.647845,1.1267715
40262355,2019-06-30,0.86753577,0.615769,1.1354797
40262355,2019-07-05,0.8496396,0.64294904,0.9844142
40262355,2019-07-20,0.83155584,0.58788276,0.9103066
40262355,2019-07-25,0.837963,0.5869002,0.95090777
40262355,2019-08-04,0.8423089,0.5660415,0.78114426
40262355,2019-08-09,0.8650089,0.56244224,0.90987146
40262355,2019-08-14,0.8104089,0.65568835,0.97935593
40262355,2019-08-19,0.82909936,0.5751362,0.8525729
40262355,2019-09-03,0.84808576,0.5683497,0.74047446
40262355,2019-09-13,0.8781859,0.53537554,0.86906886
40262355,2019-10-08,0.81224495,0.36284444,0.4665023
40262355,2019-10-23,0.53568494,0.25240615,0.13894473
40262355,2019-12-07,0.5073613,0.18727532,0.15019523
40262355,2020-01-01,0.49567726,0.20686339,0.13821147
40262355,2020-01-06,0.52051836,0.19319412,0.14333409
40262355,2020-01-11,0.5517791,0.2169012,0.14531578
40262355,2020-01-16,0.52376837,0.23846063,0.13590497
40262355,2020-02-05,0.5522388,0.2514075,0.15304439
40262355,2020-03-16,0.4905733,0.23569208,0.13507035
40262355,2020-04-05,0.42644873,0.206408,0.1344076
40262355,2020-04-10,0.4347826,0.21809042,0.13413943
40262355,2020-04-15,0.6109726,0.31908163,0.2469258
40262355,2020-04-25,0.80636156,0.5323657,0.53681356
40262355,2020-06-29,0.8178913,0.61312467,1.0044465
40262355,2020-07-04,0.87326497,0.55086035,0.89546275
40262355,2020-07-09,0.8555234,0.60504925,0.95343363
40262355,2020-07-14,0.85446006,0.6095337,0.9839551
40262355,2020-07-19,0.84774756,0.6890003,1.0624236
40262355,2020-07-29,0.84291977,0.57578784,0.8866237
40262355,2020-08-08,0.8471818,0.583924,0.825171
40262355,2020-08-13,0.6908485,0.57568246,0.6230344
40262355,2020-09-12,0.8250269,0.46715122,0.5926315
40262355,2020-09-17,0.78791535,0.53148556,0.5747264
40262355,2020-11-06,0.5660297,0.2550708,0.10875633
40262355,2020-11-21,0.57036346,0.23224042,0.14336358
40262355,2020-11-26,0.5203747,0.22105055,0.118671924
40262355,2021-02-14,0.5402646,0.2693685,0.12731858
40262355,2021-02-24,0.43953657,0.23168823,0.12506157
40262355,2021-03-01,0.4906523,0.22054979,0.13807783
40262355,2021-03-21,0.47113085,0.25500202,0.14097475
40262355,2021-03-26,0.46571136,0.25150165,0.13263372
40262355,2021-03-31,0.471161,0.2332221,0.1329511
40262355,2021-04-05,0.4514563,0.2400177,0.14619105
40262355,2021-04-25,0.47940576,0.25512952,0.16899005
40262355,2021-04-30,0.5779246,0.30683833,0.20263658
40262355,2021-05-05,0.5802287,0.35544813,0.4832971
40262355,2021-05-10,0.77970237,0.53790146,0.55597836
40262355,2021-06-04,0.80506635,0.6283186,0.8720115
40262355,2021-06-09,0.8513779,0.66415846,0.969316
40262355,2021-06-14,0.87047905,0.66051036,1.1166817
40262355,2021-06-19,0.8283118,0.64389014,1.0024347
40262355,2021-06-24,0.80221945,0.61250234,0.9366779
40262355,2021-06-29,0.8333333,0.6078859,0.9285444
40262355,2021-07-09,0.8675171,0.6589147,1.1041968
40262355,2021-07-14,0.84667885,0.7166789,1.1003917
40262355,2021-07-19,0.8436171,0.5954571,1.0015365
40262355,2021-07-24,0.7553299,0.6250788,0.8113377
40262355,2021-07-29,0.8576592,0.5884261,0.89465755
40262355,2021-08-03,0.8166626,0.68183684,0.9132559
40262355,2021-08-18,0.86037076,0.5649824,0.7858613
40262355,2021-09-02,0.8834766,0.548918,0.8816736
40262355,2021-09-07,0.8646173,0.5596801,0.7714885
40262355,2021-09-12,0.84958404,0.50725216,0.6322348
40262355,2021-10-17,0.7919124,0.37670818,0.34978375
40262355,2021-10-27,0.5918158,0.21912879,0.14987779
40262355,2021-11-11,0.516805,0.25420102,0.12140196
40271215,2017-04-01,0.49570653,0.13957885,0.08264614
40271215,2017-04-21,0.68463075,0.27814946,0.24966395
40271215,2017-05-21,0.90901214,0.6928208,1.3799047
40271215,2017-05-31,0.9173298,0.7122507,1.655027
40271215,2017-06-10,0.94010156,0.711077,1.7989234
40271215,2017-06-20,0.8915432,0.6969968,1.5469683
40271215,2017-07-05,0.83603543,0.57553804,1.1842891
40271215,2017-07-15,0.8059965,0.4160976,0.91250706
40271215,2017-07-20,0.88221294,0.5739386,1.3750728
40271215,2017-07-25,0.93442625,0.4606681,1.2192218
40271215,2017-08-04,0.84139776,0.528114,1.2147076
40271215,2017-08-09,0.8175728,0.596608,1.1349334
40271215,2017-08-24,0.87918127,0.38872457,0.82129663
40271215,2017-08-29,0.87910575,0.60480046,1.219245
40271215,2017-09-28,0.89681864,0.42830157,0.6422194
40271215,2017-10-08,0.44514224,0.46501762,0.3169451
40271215,2017-10-13,0.6716049,0.1241159,0.13466667
40271215,2017-10-18,0.68019885,0.18100446,0.1421295
40271215,2018-04-06,0.5851528,0.22488882,0.14366284
40271215,2018-04-11,0.24264495,0.24448231,0.025432697
40271215,2018-04-21,0.7384412,0.35602072,0.4001543
40271215,2018-05-21,0.85077584,0.5450969,0.9956185
40271215,2018-05-26,0.8357211,0.82391715,1.5492454
40271215,2018-05-31,0.82746166,0.66398466,1.3493887
40271215,2018-06-10,0.8673589,0.66844916,1.6262554
40271215,2018-06-15,0.89152265,0.752433,1.8693826
